ID,From,,To,,Google,FFS
,Lat,Long,Lat,Long,Dist(km),
O95-O96,30.067026,31.174370,30.062675,31.174264,0.484,79
O96-O97,30.062675,31.174264,30.061666,31.174391,0.114,69
O97-O98,30.061666,31.174391,30.059439,31.174915,0.252,69
O98-O99,30.059439,31.174915,30.053822,31.176940,0.653,91
O99-O100,30.053822,31.176940,30.051968,31.177355,0.211,92
O100-O101,30.051968,31.177355,30.049053,31.177246,0.325,92
O101-O102,30.049053,31.177246,30.043332,31.174154,0.712,90
O102-O103,30.043332,31.174154,30.033120,31.164687,1.456,94
O103-O104,30.033120,31.164687,30.026957,31.163461,0.712,86
O104-O105,30.026957,31.163461,30.022464,31.165568,0.54,88
O105-O106,30.022464,31.165568,30.013357,31.160459,1.313,79
O106-O107,30.013357,31.160459,30.011032,31.144239,1.583,93
O107-O108,30.011032,31.144239,30.010504,31.141579,0.263,66
O108-O109,30.010504,31.141579,30.008944,31.138435,0.355,66
O109-O110,30.008944,31.138435,30.007226,31.137731,0.216,68
O110-O111,30.007226,31.137731,30.005495,31.138094,0.195,68
O111-O112,30.005495,31.138094,30.002940,31.139347,0.312,79
O112-O113,30.002940,31.139347,29.993937,31.147189,1.254,98
O113-O114,29.993937,31.147189,29.991341,31.148881,0.333,98
O114-O115,29.991341,31.148881,29.988116,31.150370,0.386,101
O115-O116,29.988116,31.150370,29.985732,31.152209,0.322,101
O116-O117,29.985732,31.152209,29.980255,31.158486,0.858,103
O117-O118,29.980255,31.158486,29.978958,31.160343,0.231,105
O118-O119,29.978958,31.160343,29.976485,31.165351,0.555,105
O119-O120,29.976485,31.165351,29.978413,31.175614,1.14,87
O120-O121,29.978413,31.175614,29.982127,31.178258,0.485,91
O121-O122,29.982127,31.178258,29.985646,31.184386,0.724,91
O122-O123,29.985646,31.184386,29.986743,31.188743,0.437,88
O123-O124,29.986743,31.188743,29.985895,31.196106,0.73,88
O124-O125,29.985895,31.196106,29.985167,31.206425,1.037,83
O125-O126,29.985167,31.206425,29.985878,31.208438,0.209,80
O126-O127,29.985878,31.208438,29.986585,31.213162,0.467,80
O127-O128,29.986585,31.213162,29.986546,31.214297,0.109,80
O128-O129,29.986546,31.214297,29.986549,31.215973,0.162,82
O129-O130,29.986549,31.215973,29.986977,31.218516,0.25,82
O130-O131,29.986977,31.218516,29.989679,31.228046,0.966,81
O131-O132,29.989679,31.228046,29.990148,31.229675,0.165,88
O132-O133,29.990148,31.229675,29.991651,31.235053,0.545,88
O133-O134,29.991651,31.235053,29.991035,31.254026,1.857,87
O134-O135,29.991035,31.254026,29.990193,31.257606,0.357,93
O135-O136,29.990193,31.257606,29.989848,31.262243,0.453,93
O136-O137,29.989848,31.262243,29.990442,31.275138,1.245,86
O137-O138,29.990442,31.275138,29.991555,31.282801,0.748,82
O138-O139,29.991555,31.282801,29.991877,31.284109,0.131,72
O139-O140,29.991877,31.284109,29.992403,31.286209,0.211,72
O140-O1,29.992403,31.286209,29.992376,31.291087,0.477,77
